run_folder,video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold,source_csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.3003,0.2992129063,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.33366667,0.2778958807,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.36703333,0.2567560676,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.4004,0.2113723681,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.43376667,0.1715862995,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.46713333,0.1280160793,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.5005,0.1096222381,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.53386667,0.0787178385,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.56723333,0.0565487421,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.6006,0.0553054446,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.63396667,0.0482414152,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.66733333,0.04411757,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.7007,0.0374801644,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.73406667,0.0365580919,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.76743333,0.0316144336,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.8008,0.0407624546,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
run_20260603_135415_video02_target30cm,2,30.0,30.0,0.83416667,0.0292889538,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\center_autocorr_curve.csv
